time,fp,fpn,fpd,pcp,pcpn,pcpd,tp,tpn,tpd
0.840000000000001,387.785699739529,388.862505297183,403.300788270444,3.33902742961287,3.60237712229221,6.92700246124122,9.99812010773626,9.96449465691984,10.3257636730343
0.850000000000001,388.245164664801,387.239152703671,403.575415907564,3.34077158067074,3.51249698698563,7.89367672051283,9.99809192706454,10.0635205811873,10.2546643793175
0.860000000000001,388.703459733453,390.517421467366,403.989212875471,3.34262399738813,3.78770309403992,7.13778132987708,9.99806373541727,10.1997742335013,10.3045075748177
0.870000000000001,389.160419467654,389.690903844095,405.774382572768,3.34457417814933,4.40625903556679,7.64505445531686,9.99803553352742,9.97354988617194,9.89220101104429
0.880000000000001,389.615898328014,388.69485198603,403.075858477222,3.34661247542371,3.1051054962031,5.69809221470564,9.99800732208424,9.91942414129822,10.8840821800927
0.890000000000001,390.069768997747,392.026000160651,406.915406207824,3.3487300306158,4.09588376548895,6.84247988148855,9.99797910173576,10.1442846080131,10.1878962588088
0.900000000000001,390.521920781902,389.5105492824,406.202269694811,3.35091871366153,4.36140879848107,7.33759422561494,9.99795087309119,10.2620614793534,10.4905672290255
0.910000000000001,390.972258117349,390.51954579846,406.974350555616,3.35317106703812,3.34456725790551,6.86660734442675,9.99792263672318,9.78260951889887,10.6413987707375
0.920000000000001,391.420699188827,391.772775848493,407.56717164528,3.35548025387769,1.83101355600709,6.99401049243844,9.9978943931699,9.98812173416557,10.1101009488531
0.930000000000001,391.867174646122,391.960102746798,409.838719542319,3.35784000989554,4.21251405433129,7.31181278143581,9.99786614293705,10.4458657581579,10.5937947524611
0.940000000000001,392.311626417245,391.839230855844,406.447288779585,3.36024459886362,3.99201447446184,5.89558503908635,9.99783788649982,10.0848061022376,10.2988426209142
0.950000000000001,392.754006612464,394.839279512825,410.52141444617,3.36268877137829,1.98170229757805,7.90262007270986,9.99780962430455,10.1745040321907,9.88391016461072
0.960000000000001,393.194276513992,393.995539360776,413.541417420737,3.36516772668825,3.62461339371245,8.15056817384639,9.99778135677054,10.0216218795867,10.1015855754966
0.970000000000001,393.63240564624,391.972398110962,409.455895306529,3.36767707736485,4.15783659543971,5.32988306077774,9.99775308429156,9.88202855836593,10.326649273844
0.980000000000001,394.068370921611,396.826258811079,412.386388236873,3.37021281661186,2.26407409303515,7.60757672899221,9.99772480723736,9.54738976619154,10.5316930042346
0.990000000000001,394.502155856978,397.900601294555,410.493598278782,3.37277128802543,1.79712137830174,8.28771175752189,9.99769652595512,9.80045055873372,10.375101435186
1,394.933749856129,395.934465749631,411.178187972247,3.37534915762863,3.47309009482147,7.30551168643051,9.99766824077073,10.1313148669708,10.4547715520813
1.01,395.363147553674,393.006375807497,413.507097414542,3.37794338801639,2.79661241673824,5.9241078016764,9.99763995199009,10.5098069309743,10.3869610404656
1.02,395.790348216076,392.281618793166,412.620436947988,3.38055121445877,2.46469852704507,8.73516872778481,9.99761165990028,9.88938586033761,10.2655934705593
1.03,396.215355195714,394.894749577453,411.616790631076,3.38317012282029,1.87172480886218,7.89362469312853,9.99758336477066,9.79417878603268,10.0749601049292
1.04,396.638175434053,400.356916626282,411.707602540173,3.3857978291638,3.68293462602424,9.09148440918451,9.99755506685394,10.0080556598314,10.4696735897461
1.05,397.058819010251,393.295011940848,414.0965663629,3.38843226091572,3.99246692819377,8.45110514652113,9.99752676638719,10.1279909331623,10.7312964665058
1.06,397.477298731725,398.158859447668,414.379042522327,3.39107153947887,2.71791838234165,8.67142625567213,9.99749846359273,9.98057312260769,10.4646649753344
1.07,397.893629763392,395.110718514276,417.777002962962,3.39371396418653,3.02875203474281,6.72171582050295,9.99747015867905,9.95894346723854,10.1174290536717
1.08,398.307829292542,400.717798220115,419.182268350822,3.39635799749915,4.50036174603387,8.83181011302645,9.99744185184161,10.2414962446639,10.9610684711191
1.09,398.719916226469,402.459898391011,415.617071446034,3.39900225135213,7.20237142526554,7.91348962150342,9.99741354326364,10.2639827260356,10.1517239162122
1.1,399.129910920175,403.319946142751,420.700068044202,3.40164547456929,4.54375619991974,8.13776435293619,9.99738523311687,9.89460338202253,10.7247001369048
1.11,399.537834931667,400.668533747094,415.459589972639,3.40428654126315,3.16653348347835,7.29588331668582,9.99735692156223,10.1392514886901,9.889288457809
1.12,399.943710802516,398.067445593272,416.738411817591,3.40692444014828,3.62948915450444,7.65194277339543,9.99732860875048,9.93667601841429,10.5186886086409
1.13,400.347561861531,400.670018453527,421.544530489028,3.40955826469965,3.22320098728769,5.76851998411808,9.99730029482285,10.1912996965671,10.4433048808461
1.14,400.749412049544,402.419596794904,420.001198427878,3.41218720409253,3.04351279269407,10.4921054693654,9.9972719799116,10.1359787574986,10.2039322888013
1.15,401.149285763454,398.716347056471,420.204592640989,3.4148105348652,3.52197044900832,6.10798502365816,9.99724366414057,10.3325896977005,10.4047891620735
1.16,401.54720771783,402.46977685634,419.603833291639,3.41742761324986,4.15170216814583,7.08749464896419,9.99721534762569,10.5598914578312,10.9504591399746
1.17,401.943202822482,403.986278467654,418.575259432654,3.42003786812112,2.16400456705315,6.66621760704751,9.99718703047547,10.3031178817054,10.3349564076895
1.18,402.337296074546,405.220594707663,422.338993917714,3.42264079451511,2.76445487186383,8.04141489508295,9.99715871279144,9.31431574177628,10.4068278790247
1.19,402.729512463735,399.525180310355,419.534943979042,3.42523594767573,2.43372395571854,7.37511860633079,9.99713039466858,10.2313418502734,10.7265139902525
1.2,403.119876889541,405.087075343964,423.473150193815,3.42782293758756,3.56440039571325,8.69141752063295,9.99710207619572,9.53809595661523,10.2531768404484
1.21,403.508414089215,405.2161239568,424.71270792093,3.43040142395814,4.48121685890004,7.26838361228873,9.99707375745593,10.5084637254284,10.3783068158589
1.22,403.895148575529,404.68314872097,418.932577894522,3.43297111161478,2.30382642750713,7.01497635423993,9.99704543852684,9.85875781637335,10.5597990188315
1.23,404.280104583317,404.897593399931,419.687759031439,3.43553174628403,3.98974344881378,7.91248469251071,9.99701711948102,10.2290326606776,10.1750655046002
1.24,404.663306023956,400.961476302781,422.144160815065,3.43808311072373,1.88079756539251,7.18868072815882,9.99698880038627,9.83571444808841,10.7174558988642
1.25,405.044776446961,406.342434057301,423.456308654693,3.44062502118046,3.66069546966841,7.71009881953701,9.99696048130589,9.8380875676743,10.5887585064872
1.26,405.42453900798,404.883336061777,426.018216935249,3.44315732414651,1.57503555591121,8.44878818251854,9.99693216229899,10.0540658991449,10.9866760256205
1.27,405.802616442497,407.534178407559,422.433809937037,3.44567989339314,3.57035469430718,8.35137480753867,9.99690384342075,10.3274406229417,9.9457960988666
1.28,406.179031044661,406.748658161478,427.406806013098,3.44819262725795,2.92062068245593,9.57205783908616,9.99687552472266,9.78846580717089,10.598775047915
1.29,406.55380465065,405.742092712814,427.096740942125,3.45069544616641,2.84055786401877,8.6619138404568,9.99684720625271,10.4092431680753,10.3010098447997
1.3,406.926958626099,407.187608483703,426.439773301413,3.45318829036878,3.21729078493587,9.60589229901409,9.99681888805568,9.62086029987689,10.4845931361331
1.31,407.298513857107,404.345556235943,428.716091697756,3.45567111787511,2.75760064898454,7.37848116936506,9.99679057017328,9.99779948499037,10.7531471774192
1.32,407.668490744411,409.133941942528,427.053292605844,3.45814390257244,2.11186018783562,8.52800774208217,9.99676225264437,10.1721444763812,10.5357789701586
1.33,408.036909200352,408.909400285998,430.376861805995,3.46060663250937,3.39755265721476,7.40605400229716,9.99673393550512,10.006163462794,10.4895990332219
1.34,408.403788648288,408.562989669877,427.668757336678,3.46305930833454,3.67779258744661,8.54607895321945,9.9967056187892,10.4896988455331,10.4668639380444
1.35,408.769148024138,411.029340377972,427.709337357033,3.46550194187616,2.42285335455573,9.15868592487801,9.99667730252793,9.73417873385129,10.5437735194734
1.36,409.133005779781,412.36563409902,427.579824050971,3.46793455485131,2.07762584306516,8.91841384117205,9.99664898675042,9.73812699360832,11.2021309674422
1.37,409.495379888055,410.420022465778,429.880583255853,3.47035717769407,2.44881546351785,7.93649919187368,9.99662067148371,10.4217299849523,10.4109968697819
1.38,409.856287849134,407.670712721593,432.033928963349,3.47276984849266,1.8059066413546,6.88247900708028,9.9965923567529,10.0931018943018,11.1255718014638
1.39,410.215746698064,410.159067369101,431.029052945136,3.4751726120265,3.87114203684157,8.49434581559471,9.9965640425813,10.2074116636608,10.2727349507017
1.4,410.573773013282,408.94677223115,428.738669528986,3.4775655188948,3.52536786221406,8.74743008412554,9.9965357289905,9.3570932582977,11.0463004478284
1.41,410.930382925966,410.972292644329,429.028337532248,3.47994862472884,4.17766860937937,8.51010701820925,9.9965074160005,9.53055800757502,10.1314575646485
1.42,411.285592130035,412.092006710972,429.145527351018,3.48232198948098,3.83303779659193,8.83842869425613,9.99647910362981,10.1638204483998,10.7143088526719
1.43,411.639415892707,414.313359080874,429.769237318151,3.48468567678362,2.64422752661606,7.30803591925122,9.99645079189557,9.73319961258549,10.8603349897504
1.44,411.991869065467,409.935608542074,431.575943153357,3.48703975337228,4.07197837993451,8.55045025690818,9.99642248081357,9.52973156914649,10.0848397269468
1.45,412.342966095356,413.569455989373,431.942351876527,3.48938428856705,2.6033300053741,9.01884279935664,9.99639417039842,9.77162133462538,10.3289531237836
1.46,412.692721036484,411.628344725908,434.559725567726,3.49171935380743,5.66509984885964,7.94781523316045,9.99636586066357,10.4705683981754,10.4148937650583
1.47,413.041147561695,414.078006829152,431.981521725063,3.49404502223574,2.17601927380485,8.53640971364943,9.99633755162139,10.4641589740678,10.6267322485163
1.48,413.388258974293,413.009399009585,430.381739837611,3.49636136832494,3.88411380522203,7.52908212348102,9.99630924328326,9.87992819244262,10.2538152902068
1.49,413.734068219788,412.518048349664,436.600091099089,3.49866846754668,2.39178107961737,10.6594951577555,9.99628093565961,10.1708529134726,10.7415357491565
1.5,414.078587897594,415.996141454818,434.264938832468,3.50096639607608,0.407129431859911,8.1297653579742,9.99625262876003,9.80438060307104,10.3959827178885
1.51,414.421830272637,416.041117549629,432.956005331856,3.50325523052991,3.78306477407292,7.47760063954045,9.99622432259324,9.70113307672639,10.2407352804605
1.52,414.763807286829,413.430398800578,434.879053009099,3.50553504773491,1.84443537544775,9.21399279639248,9.99619601716722,10.0442941014907,10.7187152834672
1.53,415.104530570382,411.04717590562,437.858575748103,3.50780592452373,3.43302010209466,6.71536578565072,9.99616771248924,9.91052376173928,10.5125081409638
1.54,415.444011452915,418.406741702115,436.561539347684,3.51006793755562,3.79479016992941,9.81759680134071,9.9961394085659,9.79348687638,10.9259655931381
1.55,415.782260974349,416.15942640671,439.106485448644,3.51232116315969,3.1803770863957,10.113816357081,9.99611110540314,9.99268172006768,10.8725970297402
1.56,416.119289895556,416.198460509165,435.021318084761,3.51456567719855,2.27317198451446,8.89940680562953,9.99608280300637,9.56353111560859,10.4917567959065
1.57,416.455108708754,414.727578856378,436.677870609362,3.5168015549503,2.96054253504531,8.58472838871883,9.99605450138041,10.2799868625928,10.4743474130071
1.58,416.78972764762,415.715854620782,437.044727974298,3.51902887100706,3.4917519289532,7.93039512081975,9.99602620052958,10.1127950446746,10.0001807473236
1.59,417.123156697133,420.364670884965,440.790470440469,3.52124769918849,4.68021813802634,8.31094004420528,9.99599790045775,9.90380870848705,11.1871496493043
1.6,417.455405603119,416.34479960699,436.969007163702,3.52345811246864,2.62964026513244,8.45972464719247,9.99596960116831,9.85675039068536,10.4516457829403
1.61,417.786483881504,419.830906563116,440.92305251766,3.5256601829149,3.6087117374609,7.94972136868463,9.99594130266425,10.0601060670262,10.2700639246121
1.62,418.116400827264,421.47803930412,436.224243684299,3.52785398163771,2.9896498861617,8.23621885380572,9.99591300494818,10.1037737830052,10.5835471763167
1.63,418.445165523081,416.452822090314,438.962873532769,3.53003957874986,4.88406571413732,7.72398386322265,9.99588470802233,10.1158608189228,11.2811189630318
1.64,418.772786847691,414.866067300465,438.947110773815,3.53221704333446,2.58868589342685,8.5361083808199,9.9958564118886,9.98027039155827,10.2628015429569
1.65,419.09927348394,421.680478552399,436.414487377746,3.5343864434205,4.02320758216364,8.00095216815922,9.9958281165486,10.2632105940182,10.8526323447755
1.66,419.42463392654,422.655213858091,436.846428510397,3.5365478459652,1.60423939671553,8.04760653684233,9.99579982200361,9.8873614868388,10.6683124058892
1.67,419.748876489529,420.1508597654,436.969239371335,3.53870131684245,3.60215240940434,8.48320978390344,9.99577152825466,9.86330553951858,10.2286075230104
1.68,420.072009313453,419.706900777375,437.744376407368,3.5408469208364,5.08799228496541,8.67377822070476,9.99574323530251,10.6651568929407,10.9603506263776
1.69,420.394040372255,420.306321127314,440.547621192063,3.54298472163986,3.61315663790368,8.60823109915434,9.99571494314771,10.3611344822426,10.623885335019
1.7,420.71497747989,421.184779686482,440.777507406041,3.54511478185668,4.56651715096525,8.06576827583041,9.99568665179055,10.0936257743567,10.7163419237553
1.71,421.034828296674,422.277956686349,441.471012011931,3.54723716300773,2.86480244194457,7.8205251225651,9.99565836123116,10.0349725678809,10.5173911269573
1.72,421.353600335363,420.451769033439,439.447710882987,3.5493519255399,4.77890201624978,8.51820142197332,9.99563007146944,10.2061682193811,10.3818308903235
1.73,421.671300966978,422.610837228052,442.539987085107,3.55145912883787,3.91852079355325,10.0672607618883,9.99560178250514,9.93412994868037,10.0515109232416
1.74,421.987937426384,422.25211504425,440.035655190386,3.55355883123797,3.65811667122056,8.6717547914964,9.99557349433782,10.1667202375216,10.4847109539138
1.75,422.30351681762,421.908598637936,441.139466797279,3.55565109004416,3.25817818855339,9.15497861472401,9.99554520696692,10.0617100648694,10.3440438415631
1.76,422.618046119006,422.718025732499,440.832722757199,3.55773596154546,4.98465293338876,7.64896425705085,9.9955169203917,10.3639692377377,10.1001933250032
1.77,422.931532188012,425.384200832579,443.717029953231,3.55981350103478,3.80025885318644,8.45607078936627,9.99548863461132,10.5380258372665,11.0579867281004
1.78,423.243981765919,422.591031500773,441.032979746593,3.56188376282885,3.55920602655172,8.41066602018596,9.9954603496248,10.0684825108488,10.8874576604382
1.79,423.555401482266,422.584937595608,440.767395447654,3.563946800289,3.61224508483142,9.71000244497753,9.99543206543105,9.77203892205897,10.3397958618366
1.8,423.865797859092,422.133611849908,444.062798185593,3.56600266584258,3.56405007845922,9.05666670345216,9.99540378202888,10.0323555325177,10.6664878315987
1.81,424.175177314985,423.976040718494,444.280443899812,3.5680514110049,2.61465918770657,9.01204152118218,9.995375499417,9.76994468721729,11.0491545736097
1.82,424.483546168952,418.773112267989,445.126706390395,3.57009308640151,3.27940228244558,8.7119429315595,9.99534721759403,10.2891249541349,10.7843053119414
1.83,424.79091064409,423.272685949869,443.235295585468,3.57212774179066,2.88148254633232,8.24322574104547,9.9953189365585,9.77230544352351,10.2126398305761
1.84,425.09727687111,424.268877116166,445.316865632188,3.57415542608586,4.30062715771642,8.24390396598911,9.99529065630888,9.86257943828438,10.2556150763565
1.85,425.402650891671,422.077815957773,444.574824257626,3.57617618737842,2.87938565374249,8.25020146817716,9.99526237684355,10.1307712262556,10.2976990421377
1.86,425.707038661578,425.687570051438,446.60101026193,3.57819007295981,2.82196997743875,9.03108288826394,9.99523409816084,10.0123482355126,10.6321582062692
1.87,426.010446053811,422.918194924123,450.088324691428,3.58019712934396,2.43447042578682,7.59514952615786,9.99520582025901,9.70074343304475,10.476454921743
1.88,426.312878861418,426.032927472193,444.583435954458,3.58219740228914,3.19385987419916,9.08862225831622,9.99517754313627,10.3549260786195,11.0511101044615
1.89,426.614342800274,428.009824472345,447.26715919456,3.58419093681962,3.6734807644516,9.38444376873676,9.99514926679078,10.0266579683895,10.4123282482475
1.9,426.914843511698,426.946693943109,447.540010668171,3.58617777724696,3.05806045523163,8.43778052628548,9.99512099122066,10.1789298735141,10.7848523806756
1.91,427.214386564949,428.550904387214,445.867893943679,3.58815796719081,3.97846706856348,8.19206183501395,9.99509271642397,10.1851546080822,10.5512244005233
1.92,427.512977459603,426.752366253296,446.86476546549,3.59013154959935,4.12640296468077,7.69244070701644,9.99506444239875,10.5202274645209,10.6748230006489
1.93,427.810621627819,426.168537465885,447.563830934251,3.59209856676918,4.61380672873718,9.51387579335637,9.995036169143,9.93261614716279,10.3573739389279
1.94,428.107324436482,427.200476843553,446.480763387233,3.59405906036481,4.3438134052243,8.97038931898599,9.99500789665467,10.3908550328108,10.7767339685254
1.95,428.403091189261,427.704779198599,444.392961534407,3.5960130714375,4.8915290473457,7.92321343880591,9.99497962493171,10.1179674001707,10.3289061435089
1.96,428.697927128555,427.441029641079,444.723215366865,3.59796064044372,2.52423594036658,8.09724906164322,9.99495135397202,10.3105623023383,10.8293351498366
1.97,428.991837437346,432.145955888552,445.217654170869,3.59990180726296,3.24823549106727,9.11703264290591,9.99492308377349,10.5408084507185,10.5123158856764
1.98,429.284827240973,430.436899437156,448.442050778616,3.60183661121506,3.1226658114986,8.92999188835883,9.99489481433399,10.390847549013,10.3122417561514
1.99,429.576901608808,428.015617684436,448.338938009271,3.60376509107697,4.73939151932854,8.21984806151781,9.99486654565137,9.90845638779508,10.5091581955608
2,429.868065555861,428.148128173603,450.667325239843,3.605687285099,4.08639499501843,8.28913021525566,9.99483827772344,10.3612985747879,11.1631550197849
2.01,430.1583240443,429.737378080179,447.970604834386,3.60760323102048,3.61225775235898,7.76507466699867,9.99481001054804,9.58067843846617,10.3802440154849
2.02,430.447681984907,431.444150356795,451.190327988998,3.60951296608492,4.36694919324153,7.51468996155223,9.99478174412295,9.76451144746081,10.2529704694623
2.03,430.736144238459,430.08077198226,446.912387732338,3.61141652705466,2.76348246314153,9.21850886940314,9.99475347844598,10.0395200372934,10.5667241713153
2.04,431.023715617046,431.881728149883,444.338173231266,3.61331395022493,4.89971682338413,7.77047653585163,9.99472521351489,9.6542600799001,10.0438149522282
2.05,431.310400885323,430.591937957358,447.218348276024,3.61520527143751,3.81692424305507,9.34271146627728,9.99469694932747,9.62802394982065,10.3460721951686
2.06,431.596204761712,432.263941028281,448.302346246513,3.61709052609376,3.17640747577581,7.67448406794035,9.99466868588148,9.78222565643952,10.7875071783024
2.07,431.881131919536,429.76660457822,445.661848950346,3.61896974916726,2.80546414152027,8.64300900879498,9.99464042317469,10.429450584257,10.2333144412466
2.08,432.16518698811,431.482784740606,449.004089890623,3.62084297521595,6.76634389452973,7.09105893443922,9.99461216120483,10.4515335848755,10.4329090066622
2.09,432.448374553779,433.657015177651,451.103932246426,3.62271023839377,3.92120402831748,7.84545423211697,9.99458389996968,9.67697614967407,10.6856073358404
2.1,432.730699160904,435.865801279257,449.40860939716,3.6245715724619,2.75718840025825,6.38303009498771,9.99455563946698,9.99183259486312,10.7560731970068
2.11,433.01216531281,432.336948653826,450.459006575391,3.62642701079954,4.40092043677061,8.70161304084941,9.99452737969448,9.65138600488917,10.1858899860806
2.12,433.292777472686,432.936627545845,451.79644735841,3.62827658641423,2.64143276664824,8.17591297849764,9.99449912064992,10.0229989608711,10.6432851828633
2.13,433.572540064448,435.587625351584,451.391327137344,3.63012033195185,4.34847261296643,8.85404141809931,9.99447086233106,9.94830861218581,10.924282769466
2.14,433.85145747356,434.590193270083,451.980096192844,3.63195827970614,3.96095628965807,8.5352507055852,9.99444260473565,9.84129340009125,10.5831135447932
2.15,434.129534047825,434.372151788938,450.269065433282,3.63379046162785,2.39718875785051,5.88063069164662,9.99441434786144,9.98158248995099,10.4710377306248
2.16,434.406774098136,431.068370094912,447.216305304687,3.63561690933359,2.95329896804621,8.23220595472355,9.99438609170618,10.4447298455586,10.5731652170331
2.17,434.683181899195,433.221463813797,449.292299250799,3.63743765411422,4.3096995699626,7.9948533752231,9.99435783626764,9.63253224476551,10.4079336373207
2.18,434.958761690207,437.319884596401,451.497173835929,3.639252726943,2.70928551843487,6.02900481173155,9.99432958154357,9.85510240871855,10.367271348795
2.19,435.233517675536,434.938325078127,455.06118248672,3.64106215848332,4.9498389505156,8.22489932092932,9.99430132753173,10.4604329743481,10.3205086391199
2.2,435.507454025343,438.849988504042,454.540686390588,3.6428659790962,5.08356115188334,7.65470095075849,9.99427307422991,10.6603996561704,10.0139294834436
2.21,435.780574876191,436.651806572601,449.423833816394,3.64466421884741,4.85308719021632,7.47777944191071,9.99424482163586,9.97478866998111,9.74450064010633
2.22,436.052884331629,439.196474896759,452.131819896194,3.64645690751436,3.79059062345249,7.36374728160492,9.99421656974739,10.1855742735543,10.3052844414925
2.23,436.324386462751,444.545507292641,454.096975855609,3.64824407459268,2.0583583015064,6.28589810799759,9.99418831856226,10.2863081065426,10.6677845171898
2.24,436.595085308735,435.066711082502,449.541359610016,3.65002574930254,4.4415397919926,6.11882940112306,9.99416006807827,10.1924925027304,10.3932074902008
2.25,436.864984877357,437.402131501071,453.374760199392,3.6518019605947,4.19748991474975,7.55674136717672,9.99413181829322,10.0311641498374,10.1515905010417
2.26,437.134089145493,439.559626509504,452.024503874718,3.65357273715636,2.99511614850062,8.85960398378352,9.99410356920493,9.92333173864915,10.0636683660543
2.27,437.402402059593,434.62894811443,451.689871151066,3.65533810741673,4.57097908390535,7.00072639307627,9.99407532081119,10.1368434072068,10.4198818037146
2.28,437.669927536146,441.849306282959,450.397863532414,3.65709809955236,3.57319855108678,7.74673590664808,9.99404707310983,10.2816471075887,10.6038439210082
2.29,437.936669462119,435.837960298055,451.575641180629,3.65885274149236,2.67768299875133,5.52756551387382,9.99401882609867,10.2867481733527,10.3607984643868
2.29999999999999,438.202631695392,437.28976681214,452.31148675013,3.66060206092329,1.66451408621685,7.46951934072206,9.99399057977556,10.1769569536331,10.5381697421012
